Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Estonia,EST,"Natural capital per capita, fisheries (constant 2018 US$)",NW.NCA.FISH.PC,101.12,109.81,78.20,114.36,1097.73,0.00,0.00,136.78,47.94,467.71,374.52,429.00,495.74,500.56,304.17,207.54,292.09,185.51,187.44,183.30,58.07,65.26,71.84,75.81
Estonia,EST,"Natural capital per capita, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.PC,2832.77,3029.79,3478.44,3885.41,3884.48,3907.40,3904.08,3709.74,3713.37,3813.47,3853.78,3815.30,3629.48,3671.56,3474.65,3490.58,3448.31,3522.11,3886.78,4016.19,3994.03,3987.85,4047.37,3990.02
Estonia,EST,"Natural capital per capita, forests: timber (constant 2018 US$)",NW.NCA.FTIM.PC,2428.42,2730.30,3355.11,3824.02,4148.16,4685.79,5249.74,5503.40,5775.61,5507.20,4783.27,4011.36,3343.46,2728.46,2540.45,2670.69,2896.60,3340.29,3603.41,3946.47,4109.97,4268.58,4334.71,4533.92
Estonia,EST,"Natural capital per capita, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.PC,59.92,37.27,42.36,38.78,46.66,68.80,70.47,71.59,100.09,121.21,147.92,198.34,319.82,581.97,841.96,1215.25,1889.57,2115.05,2127.02,2145.33,1881.29,1330.31,957.41,764.35
Estonia,EST,"Natural capital per capita, mangroves (constant 2018 US$)",NW.NCA.MANG.PC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Estonia,EST,"Natural capital per capita, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.PC,59.92,37.27,42.36,38.78,46.66,68.80,70.47,71.59,100.09,121.21,147.92,198.34,319.82,581.97,841.96,1215.25,1889.57,2115.05,2127.02,2145.33,1881.29,1330.31,957.41,764.35
Estonia,EST,"Natural capital per capita, nonrenewable assets: coal (constant 2018 US$)",NW.NCA.SACO.PC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Estonia,EST,"Natural capital per capita, nonrenewable assets: gas (constant 2018 US$)",NW.NCA.SAGA.PC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Estonia,EST,"Natural capital per capita, nonrenewable assets: minerals (constant 2018 US$)",NW.NCA.MINR.PC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Estonia,EST,"Natural capital per capita, nonrenewable assets: oil (constant 2018 US$)",NW.NCA.SAOI.PC,59.92,37.27,42.36,38.78,46.66,68.80,70.47,71.59,100.09,121.21,147.92,198.34,319.82,581.97,841.96,1215.25,1889.57,2115.05,2127.02,2145.33,1881.29,1330.31,957.41,764.35
